;; -*- coding: utf-8 -*--
wan-shang-hao-a 晚上好啊
zhi-bai 直白
zhan-che 战车
wu-gu 唔咕
lian-jue 联觉
zhi-shi 知识
gei-shou-ge 给首歌
hui-geng 会更
xing-yun-po-jie-qi 幸运破解器
bu-shi 不实
na-jiu-mai 那就买
biao-shi-xian-mu 表示羡慕
xin-yi-tian 新一天
sheng-xia 剩下
yuan-shuai 元帅
jin-zhao 今朝
yan-guang 眼光
jiu-you 就有
cha-jing 差劲
guang-xi 广西
na-ge-tu-an 那个图案
de-ji-hui 的机会
bao-lie-ti 爆裂体
zui-shen 最深
shou-jing 受惊
nei-xin-hao-wu-bo-dong 内心毫无波动
xie-yi 协议
mi-ding 嘧啶
mei-sheng-le 没声了
ni-zhe-ju 你这句
tong-le 同乐
hao-hao-hao 好好好
gong-ke 功课
shou-ji-ban 手机版
jie-ran-bu-tong-de 截然不同的
ti-huan-chang 替换长
ying-jie 迎接
ni-ye-hen-you-xiu 你也很优秀
zhuang-bu-xia-qu-le 装不下去了
ruo-ji 弱鸡
quan 权
gong-fu 功夫
xia-zhong-zi 下种子
mian-li 免礼
ting-zhe 听着
ling-sheng-xiang-le 铃声响了
tai-kua-zhang-le 太夸张了
yuan-kuo-hao 圆括号
zhun 准
xiang-sha 像啥
fei-teng 沸腾
kai-xin-guo 开心果
na-ni-he 那你和
you-xi-li 游戏里
rou-gu-cha 肉骨茶
kong-chou 控丑
bu-sheng 不胜
hou-sai-lei 猴赛雷
jie-kai 揭开
wo-kan 我看
tiao-tiao 调调
ci-jie 慈姐
hao-gong-lu 号公路
zhe-dou-xing 这都行
zhe-suan-shi 这算是
qi-fu 欺负
you-jian 右键
wu-ke-tiao-ti 无可挑剔
lv-chuan 绿川
cai-bu 才不
ku-si 苦思
zhuan-cha-jia 赚差价
zuo-si-a 做死啊
gei-de 给的
de-biao-xian 的表现
dun-le 炖了
ran-er 然而
yi-sheng 一生
heng-kan-cheng-ling 横看成岭
zong-bu-hui 总不会
shou-ji-shi-pin 手机视频
wo-zuo-le 我做了
pa-mei-mei 啪妹妹
nan-wan 难玩
nian-qing-ren 年轻人
jiu-hui-le 就会了
ling-dai 领带
te-da 特大
zong-jie 总结
mao 冒
ke-xing 可行
liang-dao 两道
shen-bian 身边
yi-ge 一格
cai-li 菜里
hui-he 回合
da-rao 打扰
guan-hai 观海
qu-ge 去个
jing-dao-le 惊到了
biao-da-xia 表达下
xuan-zhong-duo-ge 选中多个
mei-guo 没过
mei-shuo-ming-shu 没说明书
huo-shou 火手
shen-me-dong-xi 什么东西
si-ceng 似曾
zi-ji-de-meng 自己的梦
shang-ci 上次
bu-zhi-suo-cuo 不知所措
fu 符
wo-men-zu-dui 我们组队
ran-er-wo 然而我
mei-pao-le 没跑了
fang-fei-ji 放飞机
jiu-gao-chao-le 就高潮了
hao-da 好打
de-tie-ba 的贴吧
hai-hao-la 还好啦
xiu-chi-gan 羞耻感
na-bian 那边
que-qie-zhi 确切值
